species_name,area,latitude,longitude,estimate_note
Asian Elephant,Chitwan National Park,27.5291,84.3542,Estimated Terai habitat marker
Asiatic Black Bear,Langtang National Park,28.2140,85.5570,Estimated Himalayan forest habitat marker
Asiatic Wild Dog,Chitwan National Park,27.5291,84.3542,Estimated forest-grassland habitat marker
Atlas Moth,Shivapuri Nagarjun National Park,27.8080,85.3910,Estimated mid-hill forest habitat marker
Bar-headed Goose,Koshi Tappu Wildlife Reserve,26.6510,87.0470,Estimated wetland habitat marker
Bengal Tiger,Chitwan National Park,27.5291,84.3542,Estimated Terai habitat marker
Black Stork,Koshi Tappu Wildlife Reserve,26.6510,87.0470,Estimated riverine wetland habitat marker
Black-necked Crane,Phoksundo Lake,29.2010,82.9580,Estimated high-altitude wetland habitat marker
Blackbuck,Bardia National Park,28.3920,81.3220,Estimated grassland habitat marker
Catfish,Koshi River,26.7500,87.1500,Estimated river habitat marker
Cheer Pheasant,Annapurna Conservation Area,28.5960,84.1110,Estimated scrub-grassland habitat marker
Chinese Pangolin,Shivapuri Nagarjun National Park,27.8080,85.3910,Estimated mid-hill forest habitat marker
Clouded Leopard,Langtang National Park,28.2140,85.5570,Estimated forest habitat marker
Common Mormon Butterfly,Chitwan National Park,27.5291,84.3542,Estimated subtropical forest habitat marker
Common Toad,Shivapuri Nagarjun National Park,27.8080,85.3910,Estimated moist forest habitat marker
Fishing Cat,Koshi Tappu Wildlife Reserve,26.6510,87.0470,Estimated wetland habitat marker
Flying Frog,Langtang National Park,28.2140,85.5570,Estimated moist forest habitat marker
Freshwater Crab,Koshi River,26.7500,87.1500,Estimated freshwater habitat marker
Garra Fish,Koshi River,26.7500,87.1500,Estimated river habitat marker
Gharial,Chitwan National Park,27.5291,84.3542,Estimated river habitat marker
Giant Honeybee,Annapurna Conservation Area,28.5960,84.1110,Estimated mountain forest habitat marker
Golden Langur,Kanchenjunga Conservation Area,27.7210,88.1570,Estimated eastern forest habitat marker
Golden Mahseer,Trishuli River,27.8160,84.5500,Estimated river habitat marker
Great Hornbill,Chitwan National Park,27.5291,84.3542,Estimated mature forest habitat marker
Greater One-horned Rhinoceros,Chitwan National Park,27.5291,84.3542,Estimated floodplain grassland habitat marker
Grey-headed Fish Eagle,Koshi Tappu Wildlife Reserve,26.6510,87.0470,Estimated wetland habitat marker
Himalayan Dragonfly,Rara National Park,29.5250,82.0750,Estimated mountain wetland habitat marker
Himalayan Griffon,Sagarmatha National Park,27.9510,86.9320,Estimated high-altitude habitat marker
Himalayan Monal,Annapurna Conservation Area,28.5960,84.1110,Estimated Himalayan forest habitat marker
Himalayan Musk Deer,Langtang National Park,28.2140,85.5570,Estimated alpine forest habitat marker
Himalayan Newt,Shivapuri Nagarjun National Park,27.8080,85.3910,Estimated mountain stream habitat marker
Himalayan Pit Viper,Annapurna Conservation Area,28.5960,84.1110,Estimated mountain habitat marker
Himalayan Salamander,Langtang National Park,28.2140,85.5570,Estimated moist mountain habitat marker
Hog Deer,Chitwan National Park,27.5291,84.3542,Estimated floodplain grassland habitat marker
Indian Bullfrog,Koshi Tappu Wildlife Reserve,26.6510,87.0470,Estimated wetland habitat marker
Indian Cobra,Chitwan National Park,27.5291,84.3542,Estimated Terai habitat marker
Indian Pangolin,Chitwan National Park,27.5291,84.3542,Estimated forest-edge habitat marker
Indian Rock Python,Bardia National Park,28.3920,81.3220,Estimated Terai habitat marker
Kaiser-i-Hind Butterfly,Kanchenjunga Conservation Area,27.7210,88.1570,Estimated eastern mountain forest habitat marker
Kalij Pheasant,Shivapuri Nagarjun National Park,27.8080,85.3910,Estimated hill forest habitat marker
King Cobra,Chitwan National Park,27.5291,84.3542,Estimated forest habitat marker
Ladybird Beetle,Shivapuri Nagarjun National Park,27.8080,85.3910,Estimated mid-hill habitat marker
Lesser Adjutant,Koshi Tappu Wildlife Reserve,26.6510,87.0470,Estimated wetland habitat marker
Monitor Lizard,Bardia National Park,28.3920,81.3220,Estimated Terai habitat marker
Mugger Crocodile,Chitwan National Park,27.5291,84.3542,Estimated river habitat marker
Nepal Earthworm,Shivapuri Nagarjun National Park,27.8080,85.3910,Estimated soil habitat marker
Olive Ridley Turtle,Koshi River,26.7500,87.1500,Estimated freshwater reference marker
Paha Frog,Langtang National Park,28.2140,85.5570,Estimated mountain stream habitat marker
Pallas’s Fish Eagle,Koshi Tappu Wildlife Reserve,26.6510,87.0470,Estimated wetland habitat marker
Red Panda,Langtang National Park,28.2140,85.5570,Estimated temperate forest habitat marker
Red-headed Vulture,Bardia National Park,28.3920,81.3220,Estimated Terai habitat marker
Rufous-necked Hornbill,Kanchenjunga Conservation Area,27.7210,88.1570,Estimated eastern forest habitat marker
Sarus Crane,Koshi Tappu Wildlife Reserve,26.6510,87.0470,Estimated wetland habitat marker
Satyr Tragopan,Kanchenjunga Conservation Area,27.7210,88.1570,Estimated Himalayan forest habitat marker
Skink Lizard,Chitwan National Park,27.5291,84.3542,Estimated warm forest habitat marker
Smooth-coated Otter,Koshi Tappu Wildlife Reserve,26.6510,87.0470,Estimated riverine habitat marker
Snow Leopard,Annapurna Conservation Area,28.5960,84.1110,Estimated alpine habitat marker
Snow Trout,Trishuli River,27.8160,84.5500,Estimated cold-water river habitat marker
Spiny Babbler,Shivapuri Nagarjun National Park,27.8080,85.3910,Estimated hill scrub habitat marker
Stick Insect,Shivapuri Nagarjun National Park,27.8080,85.3910,Estimated forest habitat marker
Stone Loach,Trishuli River,27.8160,84.5500,Estimated river habitat marker
Swamp Deer,Bardia National Park,28.3920,81.3220,Estimated floodplain grassland habitat marker
Termite,Chitwan National Park,27.5291,84.3542,Estimated subtropical habitat marker
