Assessment ID,Species or Taxon,Common Names,Year Assessed,Countries,Publication,Criteria system,Status,Publication citation,Scope
94057,"Areilulus circumdatus (Temminck, 1840)",Black-gilded Pipistrelle,2002,Nepal,Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report,IUCN,"Near Threatened
NT","Molur, S., G. Marimuthu, C. Srinivasulu, S. Mistry, A.M. Hutson, P.J.J. Bates, S. Walker, K. Padma Priya and A.R. Binu Priya, editors. 2002. Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report. Zoo Outreach Organisation, CBSG South Asia and WILD, Coimbatore, India.",National
94055,"Areilulus circumdatus (Temminck, 1840)",Black-gilded Pipistrelle,2002,"Nepal, India, Pakistan, Myanmar, Viet Nam, Thailand, Indonesia, Philippines (the), Singapore",Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report,IUCN,"Least Concern
LC","Molur, S., G. Marimuthu, C. Srinivasulu, S. Mistry, A.M. Hutson, P.J.J. Bates, S. Walker, K. Padma Priya and A.R. Binu Priya, editors. 2002. Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report. Zoo Outreach Organisation, CBSG South Asia and WILD, Coimbatore, India.",Regional (multi-national)
94058,"Asellia tridens (E. Geoffroy, 1813)",Trident Bat,2002,"Nepal, India, Pakistan, Myanmar, Viet Nam, Thailand, Indonesia, Philippines (the), Singapore",Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report,IUCN,"Not Evaluated
NE","Molur, S., G. Marimuthu, C. Srinivasulu, S. Mistry, A.M. Hutson, P.J.J. Bates, S. Walker, K. Padma Priya and A.R. Binu Priya, editors. 2002. Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report. Zoo Outreach Organisation, CBSG South Asia and WILD, Coimbatore, India.",Regional (multi-national)
94062,"Barbastella leucomelas (Cretzschmar, 1830)",Eastern Barbastelle,2002,Nepal,Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report,IUCN,"Near Threatened
NT","Molur, S., G. Marimuthu, C. Srinivasulu, S. Mistry, A.M. Hutson, P.J.J. Bates, S. Walker, K. Padma Priya and A.R. Binu Priya, editors. 2002. Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report. Zoo Outreach Organisation, CBSG South Asia and WILD, Coimbatore, India.",National
94059,"Barbastella leucomelas (Cretzschmar, 1830)",Eastern Barbastelle,2002,"Nepal, India, Pakistan, Myanmar, Viet Nam, Thailand, Indonesia, Philippines (the), Singapore",Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report,IUCN,"Near Threatened
NT","Molur, S., G. Marimuthu, C. Srinivasulu, S. Mistry, A.M. Hutson, P.J.J. Bates, S. Walker, K. Padma Priya and A.R. Binu Priya, editors. 2002. Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report. Zoo Outreach Organisation, CBSG South Asia and WILD, Coimbatore, India.",Regional (multi-national)
94064,"Coelops frithii Blyth, 1848",Bengali: Lejhin Patanak Chamchika English: Tail-less Leaf-nosed Bat,2002,"Nepal, India, Pakistan, Myanmar, Viet Nam, Thailand, Indonesia, Philippines (the), Singapore",Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report,IUCN,"Near Threatened
NT","Molur, S., G. Marimuthu, C. Srinivasulu, S. Mistry, A.M. Hutson, P.J.J. Bates, S. Walker, K. Padma Priya and A.R. Binu Priya, editors. 2002. Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report. Zoo Outreach Organisation, CBSG South Asia and WILD, Coimbatore, India.",Regional (multi-national)
94076,"Cynopterus brachyotis (Müller, 1838)",Lesser Dog-faced Fruit Bat,2002,"Nepal, India, Pakistan, Myanmar, Viet Nam, Thailand, Indonesia, Philippines (the), Singapore",Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report,IUCN,"Least Concern
LC","Molur, S., G. Marimuthu, C. Srinivasulu, S. Mistry, A.M. Hutson, P.J.J. Bates, S. Walker, K. Padma Priya and A.R. Binu Priya, editors. 2002. Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report. Zoo Outreach Organisation, CBSG South Asia and WILD, Coimbatore, India.",Regional (multi-national)
94068,"Cynopterus sphinx (Vahl, 1797)",Bengali Bucha-nak Kola Badur; English Short-nosed (Indian) Fruit Bat,2002,"Nepal, India, Pakistan, Myanmar, Viet Nam, Thailand, Indonesia, Philippines (the), Singapore",Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report,IUCN,"Least Concern
LC","Molur, S., G. Marimuthu, C. Srinivasulu, S. Mistry, A.M. Hutson, P.J.J. Bates, S. Walker, K. Padma Priya and A.R. Binu Priya, editors. 2002. Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report. Zoo Outreach Organisation, CBSG South Asia and WILD, Coimbatore, India.",Regional (multi-national)
94074,"Cynopterus sphinx (Vahl, 1797)",Bengali Bucha-nak Kola Badur; English Short-nosed (Indian) Fruit Bat,2002,Nepal,Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report,IUCN,"Least Concern
LC","Molur, S., G. Marimuthu, C. Srinivasulu, S. Mistry, A.M. Hutson, P.J.J. Bates, S. Walker, K. Padma Priya and A.R. Binu Priya, editors. 2002. Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report. Zoo Outreach Organisation, CBSG South Asia and WILD, Coimbatore, India.",National
94079,"Eonycteris spelaea (Dobson, 1871)",Dawn (Cave) Fruit Bat,2002,"Nepal, India, Pakistan, Myanmar, Viet Nam, Thailand, Indonesia, Philippines (the), Singapore",Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report,IUCN,"Least Concern
LC","Molur, S., G. Marimuthu, C. Srinivasulu, S. Mistry, A.M. Hutson, P.J.J. Bates, S. Walker, K. Padma Priya and A.R. Binu Priya, editors. 2002. Status of South Asian Chiroptera: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report. Zoo Outreach Organisation, CBSG South Asia and WILD, Coimbatore, India.",Regional (multi-national)
